날짜,시가,고가,저가,종가,거래량,거래대금,상장시가총액
2019-01-02,1884.0,1885.73,1853.72,1862.65,225664668,742692136089,62681415643802
2019-01-03,1868.71,1871.38,1847.65,1849.59,309072877,1017366538695,62267158788875
2019-01-04,1843.62,1859.18,1829.13,1859.18,288236839,866668699714,62594845622104
2019-01-07,1878.28,1887.33,1877.5,1886.43,260676362,802549458894,63514690114744
2019-01-08,1892.94,1896.48,1885.21,1890.88,259667397,1013129894845,63706177559286
2019-01-09,1900.16,1914.13,1900.16,1914.05,241206234,875637110694,64518294455835
2019-01-10,1919.05,1921.3,1907.01,1909.97,255908698,1032030963706,64391671142349
2019-01-11,1914.66,1926.4,1913.91,1925.51,268557546,978249106891,64981316955414
2019-01-14,1934.27,1941.21,1928.36,1941.21,333179836,1295226194807,65507415164306
2019-01-15,1945.09,1958.98,1944.83,1958.98,324959276,1281500008520,66112565793180
2019-01-16,1971.34,1982.58,1965.82,1982.58,383960034,1524246276615,66917331348996
2019-01-17,1991.9,1991.9,1962.06,1968.44,359644109,1552661423289,66443973495140
2019-01-18,1975.05,1991.33,1973.36,1991.33,336786075,1448737189899,67221683848698
2019-01-21,2001.04,2002.7,1992.21,2002.61,282104987,1306145547714,67600656150570
2019-01-22,2009.11,2010.44,1993.75,1998.88,323741510,1319083595697,67490874008893
2019-01-23,1993.48,2004.93,1992.8,2004.08,304173309,1281682486714,67699471322967
2019-01-24,2015.68,2028.59,2015.15,2028.0,287554775,1475984000450,68515135505557
2019-01-25,2035.09,2045.45,2035.09,2044.77,278194052,1523846672461,69100779919913
2019-01-28,2055.69,2055.71,2039.52,2044.74,239456374,1254227232421,69098866208249
2019-01-29,2043.52,2043.64,2023.14,2030.39,415949066,1669476774075,68607743856565
2019-01-30,2034.57,2043.44,2031.52,2040.34,325089576,1414515863985,68943844279597
2019-01-31,2050.5,2051.71,2029.03,2044.54,346389462,1223459910676,69215139204437
2019-02-01,2051.5,2053.32,2042.73,2053.32,311752812,1254592262811,69527374575142
2019-02-07,2067.36,2067.36,2045.98,2058.78,284384911,1380608715197,69711597137008
2019-02-08,2054.45,2063.84,2053.11,2062.97,262919782,1144120117237,69854667000328
2019-02-11,2068.97,2069.17,2053.15,2057.8,286331589,1044446322382,69687603538489
2019-02-12,2064.38,2067.66,2060.39,2063.21,306629171,1123754129396,69869542642907
2019-02-13,2073.09,2079.43,2067.82,2078.6,292835557,1106473248307,70393010960173
2019-02-14,2083.3,2084.49,2060.09,2075.15,424975212,998871821357,70277630726837
2019-02-15,2072.49,2072.7,2053.13,2066.49,291101453,926782692173,69986244483098
2019-02-18,2073.49,2075.4,2069.13,2073.52,206711134,729683818598,70224527141445
2019-02-19,2078.31,2078.31,2068.24,2074.48,297774242,921853910786,70294069367732
2019-02-20,2080.49,2081.14,2070.6,2072.77,250248084,960319924687,70236871370580
2019-02-21,2076.54,2076.81,2054.74,2062.37,258518343,910234075088,69914963603055
2019-02-22,2061.74,2066.66,2055.86,2059.37,306912996,1113957093653,69813282345062
2019-02-25,2067.76,2068.22,2059.2,2064.18,192521728,728274278771,69984635820433
2019-02-26,2071.8,2078.27,2061.88,2066.28,198016435,802707775747,70067792302098
2019-02-27,2073.76,2078.02,2068.82,2077.02,195238550,832637270139,70432109192920
2019-02-28,2079.8,2079.8,1989.04,1989.04,323576233,1319157378990,67447937121963
2019-03-04,1994.04,2020.67,1994.04,2012.41,226209153,866746540117,68182563624449
2019-03-05,2013.82,2017.92,1999.72,2017.5,202795559,795779372825,68361547331410
2019-03-06,2020.35,2022.1,2008.55,2017.05,227252708,737196525874,68346996810945
2019-03-07,2014.22,2014.22,1979.91,1989.04,186969529,684650087754,67397295536655
2019-03-08,1980.03,1992.44,1977.08,1979.6,173688070,579114913978,67083960969457
2019-03-11,1982.28,1984.5,1953.27,1976.56,172199632,595666213400,66981442842017
2019-03-12,1987.66,1994.13,1987.0,1994.13,246197574,746045447389,67587978174424
2019-03-13,1995.86,1997.99,1982.1,1996.73,191167353,729095143521,67679904084663
2019-03-14,2002.12,2026.9,2002.12,2026.9,204668940,703711873390,68710742083327
2019-03-15,2029.08,2030.25,2000.96,2009.87,213144094,787187961198,68944166328963
2019-03-18,2018.61,2030.41,2018.54,2028.72,169874268,693849076333,69590943672296
2019-03-19,2034.84,2036.2,2023.54,2027.84,239425301,782563529556,69575608665478
2019-03-20,2030.39,2030.39,2002.47,2016.9,221476380,738927343109,69198521425976
2019-03-21,2017.72,2018.07,1997.65,2000.26,210611683,710173555653,68650988048891
2019-03-22,2006.29,2006.37,1989.84,1996.72,182830174,671108355313,68534083763241
2019-03-25,1976.41,1981.31,1963.23,1963.23,205693426,646465145956,67388568708915
2019-03-26,1973.36,1977.23,1963.64,1975.37,184624427,600706249670,67807090268887
2019-03-27,1981.52,1983.79,1967.11,1970.71,253155656,787034426352,67632856543988
2019-03-28,1970.02,1970.33,1945.35,1946.06,171608261,559411344200,66784139574055
2019-03-29,1954.2,1963.52,1936.74,1963.5,246641815,851859408019,67216424778472
2019-04-01,1972.37,1985.51,1971.22,1985.51,154117288,541205764241,67979165039741
2019-04-02,1991.44,1992.11,1981.52,1989.33,157147805,535406131000,68118385890469
2019-04-03,1993.05,2004.48,1991.32,2004.08,239410354,661880238399,68624849845778
2019-04-04,2005.89,2013.97,2003.45,2013.03,328487652,783993108437,68937144936989
2019-04-05,2018.91,2023.74,2016.34,2022.24,423959605,1055326800687,69259136647802
2019-04-08,2029.62,2032.23,2025.6,2031.51,238111167,723751873687,69752365107636
2019-04-09,2037.4,2038.84,2029.11,2036.83,306533104,779823785853,70068581230610
2019-04-10,2036.85,2047.66,2033.03,2047.64,284099170,761282679205,70457270637174
2019-04-11,2052.32,2069.2,2051.33,2069.2,234812238,887489729682,71202653414940
2019-04-12,2069.67,2082.08,2065.3,2081.1,227726286,959300491424,71636463701190
2019-04-15,2091.7,2091.91,2084.22,2088.46,208593058,794313391155,71894457737278
2019-04-16,2089.43,2089.47,2065.96,2077.22,308298042,1224982558472,71547298136281
2019-04-17,2078.71,2083.51,2072.63,2078.18,306344934,855197960794,71604172311484
2019-04-18,2080.64,2081.19,2052.7,2058.5,371755285,1135484079146,71135277174534
2019-04-19,2066.15,2072.99,2063.65,2072.99,371536088,973757796197,71597147099887
2019-04-22,2081.84,2081.87,2071.36,2074.63,348787944,953511942112,71694922972959
2019-04-23,2078.38,2079.93,2066.32,2076.42,351272319,1098369914076,71839080783561
2019-04-24,2084.09,2084.09,2062.72,2063.91,415873625,1182322076456,71428824315822
2019-04-25,2066.69,2066.69,2047.44,2050.37,290080727,794818795945,70954652753160
2019-04-26,2050.21,2052.33,2034.56,2043.95,436999291,1083668450436,70725234080305
2019-04-29,2047.84,2054.85,2041.15,2054.69,244783631,709396004743,71110397496369
2019-04-30,2058.72,2059.47,2037.88,2051.89,222133535,742482023424,71028245544901
2019-05-02,2052.13,2066.34,2050.91,2065.45,238993089,627588875933,71505001978245
